Attack_Flag,Fwd.Packet.Length.Min,Packet.Length.Variance,Avg.Fwd.Segment.Size,URG.Flag.Count,Active.Std,Down.Up.Ratio,Destination.Port,Idle.Min,Avg.Bwd.Segment.Size,Bwd.IAT.Total,Init_Win_bytes_backward,PSH.Flag.Count,Bwd.IAT.Max
0,1375,447016.2381,1375,1,0,5,20374,0,4.8,1518025,0,0,1503245
1,0,7025604.278,8.666666667,0,0,1,80,0,2321.4,1490756,229,1,1489801
1,0,2057995.838,7,0,0,0,80,8087896,1933.5,1715064,229,0,1693989
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,6,0,6,0,0,0,80,10300000,0,0,-1,0,0
1,6,0,6,0,0,0,80,11000000,0,0,-1,0,0
0,6,0,6,1,0,6,56151,0,6,47038,0,0,18812
0,0,0,0,1,0,0,41398,0,0,0,346,0,0
1,6,0,6,0,0,0,80,5979269,0,0,-1,0,0
1,6,0,6,0,0,0,80,9260810,0,0,-1,0,0
1,6,0,6,0,0,0,80,7422792,0,0,-1,0,0
1,0,6523729.278,8.666666667,0,0,1,80,0,2321.4,1308092,229,1,1307067
0,48,85.33333333,48,0,0,1,53,0,64,0,-1,0,0
0,42,3000,42,0,0,1,53,0,142,4,-1,0,4
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,0,11200000,2321.4,0,0,0,40110,0,8.666666667,669,256,1,557
0,55,833.3333333,55,0,0,1,53,0,105,0,-1,0,0
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,160728,229,1,160105
0,6,0,6,1,0,6,30876,5315419,6,5323924,0,0,5315419
1,0,3923213.111,8.666666667,0,0,1,80,0,2320.2,1240936,229,1,1225886
0,33,243.8095238,33,0,0,0,53,0,65,3,-1,0,3
1,0,11200000,8.666666667,0,0,1,80,0,2321.4,708342,229,1,707591
0,43,261.3333333,43,0,0,1,53,0,71,0,-1,0,0
1,0,6054813.111,8.666666667,0,0,1,80,0,2320.2,26187,229,1,19184
0,35,720.3,35,0,0,1,53,0,84,1,-1,0,1
0,6,400,26,0,0,0,443,0,6,0,0,0,0
1,0,11200000,8.666666667,0,0,1,80,0,2321.4,258438,229,1,257447
1,6,0,6,0,0,0,80,11800000,0,0,-1,0,0
1,0,3497323.148,7,0,0,0,80,76700000,2320.2,1804235,229,0,1799462
0,1375,402197.1429,1375,1,0,6,49961,7313363,5,7334788,0,0,7313363
1,6,0,6,0,0,0,80,10400000,0,0,-1,0,0
0,40,3307.5,40,0,0,1,53,0,145,3,-1,0,3
0,0,171346.3352,197.5,0,0,1,443,0,222.2857143,671449,137,1,327455
1,0,2706820.456,8.666666667,0,0,2,80,0,1933.5,625740,229,1,619874
1,6,0,6,0,0,0,80,6568801,0,0,-1,0,0
0,50,76.8,50,0,0,1,53,0,66,48,-1,0,48
1,0,4770125.962,7,0,0,0,80,9466729,2321.4,79793,229,0,78648
0,0,0,0,0,0,0,53524,0,0,0,-1,0,0
0,6,0,6,1,0,6,56266,0,6,4647546,0,0,4644191
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,570786,229,1,569709
1,0,6840253.095,6.888888889,0,0,0,80,7856811,2321.4,1175834,229,0,1174754
1,0,7025604.278,8.666666667,0,0,1,80,0,2321.4,1050551,229,1,1049447
1,0,4456113.111,8.666666667,0,0,1,80,0,2320.2,34723,229,1,33351
1,0,3923213.111,8.666666667,0,0,1,80,0,2320.2,82210,229,1,66808
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,7087654.278,8.666666667,0,0,1,80,0,2321.4,23929,229,1,23090
1,6,0,6,0,0,0,80,7748787,0,0,-1,0,0
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,31,76.8,31,0,0,1,53,0,47,3,-1,0,3
1,0,2706820.456,8.666666667,0,0,2,80,0,1933.5,77263,229,1,62001
1,0,6523729.278,8.666666667,0,0,1,80,0,2321.4,633790,229,1,632491
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,1064506,229,1,1063838
1,0,9696700.839,8.666666667,0,0,1,80,0,2900.25,484013,229,1,479266
0,0,3699499.265,1935.5,1,0,1,49429,10000000,6.8,82000000,256,0,72000000
0,6,0,6,1,0,1,10026,0,6,0,253,0,0
1,0,8593279.278,8.666666667,0,0,1,80,0,2321.4,60352,229,1,59181
0,0,205263.5517,52.85714286,0,97971.95541,1,443,9992811,338.9285714,60900000,114,1,10100000
1,0,7317264.423,7,0,0,0,80,5043191,2321.4,128945,229,0,127857
1,6,0,6,0,0,0,80,6479876,0,0,-1,0,0
1,6,0,6,0,0,0,80,5119076,0,0,-1,0,0
0,36,4915.2,36,0,0,1,53,0,164,48,-1,0,48
1,0,4456113.111,8.666666667,0,0,1,80,0,2320.2,715172,229,1,701098
0,0,5083184.063,2321.4,1,0,2,55450,5981810,6.8,72200000,256,0,66200000
0,0,8.571428571,2,0,0,1,80,0,2,3187150,29,1,2023651
0,54,1365.333333,54,0,0,1,53,0,118,0,-1,0,0
1,6,0,6,0,0,0,80,5711842,0,0,-1,0,0
0,0,2383274.985,1659,1,0,1,61102,78100000,6.888888889,80000000,256,0,78100000
1,0,3923213.111,8.666666667,0,0,1,80,0,2320.2,1078572,229,1,1064371
1,0,5464953.918,7,0,0,0,80,94700000,2320.2,1153656,229,0,1141907
1,0,12600000,8.666666667,0,0,1,80,0,2900.25,80874,229,1,63731
0,6,0,6,1,0,1,10370,0,6,0,16355,0,0
0,42,1281.333333,42,0,0,1,53,0,104,0,-1,0,0
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,637243,229,1,636365
1,0,6523729.278,8.666666667,0,0,1,80,0,2321.4,1075738,229,1,1074829
1,6,0,6,0,0,0,80,11900000,0,0,-1,0,0
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,7025604.278,8.666666667,0,0,1,80,0,2321.4,1504050,229,1,1503283
1,0,2706820.456,8.666666667,0,0,2,80,0,1933.5,1745452,229,1,1733661
1,0,3625073.789,8.666666667,0,0,2,80,0,1934.5,1284656,229,1,1283849
1,6,0,6,0,0,0,80,9926365,0,0,-1,0,0
0,250,417720,250,0,0,1,88,0,1430,2,-1,0,2
0,31,4915.2,31,0,0,1,53,0,159,48,-1,0,48
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,2706820.456,8.666666667,0,0,2,80,0,1933.5,44800,229,1,29376
1,0,10300000,7,0,0,0,80,12100000,2901.75,739833,229,0,739051
1,0,4731941.346,7,0,0,0,80,8085804,2321.4,409399,229,0,408400
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,6,0,6,0,0,0,80,6088243,0,0,-1,0,0
0,40,76.8,40,0,0,1,53,0,56,48,-1,0,48
0,0,1546638.252,1450.875,1,0,1,50696,7782250,6.888888889,8378646,256,0,7782250
0,62,1633.333333,62,0,0,1,53,0,132,0,-1,0,0
1,0,3923213.111,8.666666667,0,0,1,80,0,2320.2,1836516,229,1,1832083
0,0,213506.4085,54.9,0,0,0,443,0,562,115094,343,1,62498
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,33,720.3,33,0,0,1,53,0,82,1,-1,0,1
0,0,624258.3077,68.4,0,0,1,80,0,756.8571429,8476696,123,1,8445447
0,0,25904.53978,27.4375,0,7454.997773,0,80,10100000,56.85714286,113000000,285,1,10200000
1,0,4770125.962,7,0,0,0,80,90200000,2321.4,100421,229,0,99219
1,0,1690914.329,7,0,0,0,80,74500000,1657.285714,1823034,229,0,1794562
1,0,7087654.278,8.666666667,0,0,1,80,0,2321.4,59934,229,1,59014
1,6,0,6,0,0,0,80,7977883,0,0,-1,0,0
1,0,7317264.423,7,0,0,0,80,5283812,2321.4,472912,229,0,471430
1,6,0,6,0,0,0,80,7487623,0,0,-1,0,0
1,0,3654198.233,8.666666667,0,0,2,80,0,1933.5,283279,229,1,262041
