Flow.Bytes,act_data_pkt_fwd,PSH.Flag.Count,Avg.Bwd.Segment.Size,Bwd.Packet.Length.Std,Bwd.Packet.Length.Min,min_seg_size_forward,Active.Std,Active.Max
1399,0,0,4.8,2.683281573,0,20,0,0
42,0,0,6,0,6,20,0,0
0,0,0,0,0,0,32,0,0
112,0,0,64,0,64,32,0,0
368,1,0,142,0,142,32,0,0
11633,4,1,8.666666667,10.26320288,0,20,0,0
160,0,0,105,0,105,32,0,0
42,0,0,6,0,6,20,0,13494
262,3,0,65,0,65,20,0,0
114,0,0,71,0,71,20,0,0
238,1,0,84,0,84,20,0,0
58,1,0,6,0,6,20,0,0
1405,0,0,5,2.449489743,0,20,0,23251
370,1,0,145,0,145,20,0,0
2741,5,1,222.2857143,508.4062399,0,20,0,0
232,1,0,66,0,66,20,0,0
0,0,0,0,0,0,32,0,0
42,0,0,6,0,6,20,0,0
156,1,0,47,0,47,20,0,0
11681,4,0,6.8,5.006662228,0,20,0,31171
12,0,0,6,0,6,20,0,0
5485,13,1,338.9285714,619.7256793,0,20,97971.95541,326794
400,1,0,164,0,164,20,0,0
11675,3,0,6.8,5.006662228,0,20,0,29432
12,1,1,2,3.464101615,0,20,0,0
172,0,0,118,0,118,20,0,0
11675,5,0,6.888888889,5.30199124,0,20,0,2012686
12,0,0,6,0,6,20,0,0
146,0,0,104,0,104,20,0,0
3360,1,0,1430,0,1430,32,0,0
380,1,0,159,0,159,20,0,0
192,1,0,56,0,56,32,0,0
11669,6,0,6.888888889,5.30199124,0,20,0,598153
194,0,0,132,0,132,20,0,0
4483,9,1,562,640.3012312,0,20,0,0
230,1,0,82,0,82,40,0,0
5640,4,1,756.8571429,985.1462546,0,20,0,0
1235,1,1,56.85714286,212.7399486,0,32,7454.997773,48284
5843,10,1,585.7777778,674.807524,0,20,0,0
0,0,0,0,0,0,32,0,0
296,1,0,0,0,0,20,0,0
36,0,0,6,0,6,20,0,0
526,1,0,233,0,233,32,0,0
6086,9,1,801.6666667,655.6153344,0,20,0,0
12,2,1,0,0,0,20,0,0
42,0,0,6,0,6,20,0,27682
12,1,0,0,0,0,20,0,0
36,0,0,6,0,6,20,0,0
18100,18,1,1077.25,1021.618879,0,20,0,0
276,1,0,90,0,90,32,0,0
42,0,0,6,0,6,20,0,0
212,1,0,61,0,61,20,0,0
212,1,0,69,0,69,20,0,0
2234,5,1,297.6666667,723.2586444,0,20,55722.13568,142757
11663,3,0,7,5.656854249,0,20,0,1944277
11675,3,0,6.888888889,5.30199124,0,20,0,1091616
36,0,0,6,0,6,20,0,0
4616,6,1,410.2,585.4502161,0,20,0,0
36,0,0,6,0,6,20,0,0
172,1,0,51,0,51,20,0,0
11675,5,0,6.888888889,5.30199124,0,20,0,21327
268,1,0,102,0,102,32,0,0
227,0,0,182,0,182,32,0,0
5629,4,1,256.8888889,491.9342243,0,32,72169.10332,288863
12,1,0,0,0,0,20,0,0
42,0,0,6,0,6,20,0,23784
1399,0,0,4.8,2.683281573,0,20,0,0
12,1,0,0,0,0,20,0,0
1715,13,0,37.64285714,86.9673742,0,20,1239325.262,3546854
36,0,0,6,0,6,20,0,13623
212,0,0,170,0,170,20,0,0
4236,1,1,984.75,683.6974843,0,32,0,0
184,0,0,140,0,140,32,0,0
290,1,0,114,0,114,20,0,0
142,0,0,89,0,89,32,0,0
0,0,0,0,0,0,32,0,0
11669,5,0,6.888888889,5.30199124,0,20,0,38988
9793,14,1,475.8235294,657.6791805,0,20,318166.7674,882262
36,0,0,6,0,6,20,0,8046
124,1,0,0,0,0,32,0,0
267,0,0,219,0,219,20,0,0
409,0,0,363,0,363,32,0,0
325,1,0,113,49.49747468,78,20,0,60992
181,4,0,46,0,46,20,0,0
452,1,0,193,0,193,32,0,0
36,0,0,6,0,6,20,0,25581
36,0,0,6,0,6,20,0,0
324,1,0,110,0,110,40,0,0
12,0,0,6,0,6,20,0,0
0,0,0,0,0,0,32,0,0
13032,3,0,6.222222222,5.783117191,0,20,0,18959
12,2,1,0,0,0,20,0,0
11675,3,0,6.8,5.006662228,0,20,0,38743
42,0,0,6,0,6,20,0,0
0,0,0,0,0,0,32,0,0
5596,12,1,263.3846154,570.5739126,0,20,67376.01237,214849
11675,5,0,6.888888889,5.30199124,0,20,0,40120
3295,6,1,545,712.0519644,0,20,0,0
1405,0,0,5,2.449489743,0,20,0,0
5247,8,1,692.5714286,679.9818275,0,20,0,514080
11627,4,1,13,9.899494937,6,20,0,0
36,0,0,6,0,6,20,0,10244
226,1,0,89,0,89,32,0,0
682,16,1,19.28,14.39189587,0,20,0,0
12,1,0,0,0,0,20,0,0
322,1,0,129,0,129,32,0,0
12,0,0,6,0,6,20,0,0
12,0,0,6,0,6,20,0,0
260,1,0,98,0,98,20,0,0
0,0,0,0,0,0,32,0,0
